query_id	corpus_id	score
qd2abb7e6	dd2abb8b8	1
qd2abd0e6	dd2abd17c	1
qd2abd0e6	dd2abd1e0	1
qd2abd6b8	dd2abd1e0	1
qd2abd6b8	dd2abd7b2	1
qd2abe6b2	dd2abe752	1
qd2abe6b2	dd2abe7ca	1
qd2ac019c	dd2abff58	1
qd2ac297e	dd2ac2a28	1
qd2ac2cee	dd2ac2dac	1
qd2ac3036	dd2ac30ea	1
qd2ac3202	dd2ac32b6	1
qd2ac4328	dd2ac43f0	1
qd2ac516a	dd2ac5228	1
qd2ac516a	dd2ac5296	1
qd2ac5818	dd2ac58e0	1
qd2ac5b24	dd2ac5bec	1
qd2ac6a74	dd2ac8626	1
qd2ac89be	dd2ac8aea	1
qd2ace92c	dd2aced14	1
qd2acfe6c	dd2acffb6	1
qd2ad04a2	dd2ad05a6	1
qd2ad04a2	dd2ad061e	1
qd2ad097a	dd2ad0b46	1
qd2ad18ca	dd2ad19c4	1
qd2ad18ca	dd2ad1a32	1
qd2ad504c	dd2ad662c	1
qd2ad7b9e	dd2ad7e46	1
qd2ad86c0	dd2ad8850	1
qd2ad86c0	dd2ad88d2	1
qd2ad8a6c	dd2ad8c38	1
qd2ad9e8a	dd2ada3da	1
qd2ad9e8a	dd2ada466	1
qd2ada61e	dd2adae02	1
qd2adb780	dd2adb8d4	1
qd2adc6da	dd2adc82e	1
qd2ade0e8	dd2ade386	1
qd2ade0e8	dd2ade412	1
qd2adeba6	dd2aded90	1
qd2adf038	dd2ae0e2e	1
qd2aeaf50	dd2aeb658	1
qd2aede94	dd2aeeb50	1
qd2aede94	dd2aeecea	1
qd2af1134	dd2af18f0	1
qd2af1134	dd2af2336	1
qd2af7502	dd2af6f08	1
qd2af962c	dd2af9b04	1
qd2afcbec	dd2afdaa6	1
qd2aff090	dd2afdaa6	1
qd2b02664	dd2b02da8	1
qd2b0310e	dd2b03604	1
qd2b0876c	dd2b08bc2	1
qd2b0876c	dd2b08d20	1
qd2b09220	dd2b0b110	1
qd2b14ff8	dd2b15b1a	1
qd2b14ff8	dd2b16146	1
qd2b1698e	dd2b16ef2	1
qd2b1771c	dd2b17af0	1
qd2b1771c	dd2b17c3a	1
